,image_names,iou_values
0,Abyssinian_122,0.9124657966743843
1,Abyssinian_19,0.922944489946011
2,Abyssinian_210,0.8587894232342833
3,Abyssinian_24,0.9400220244650138
4,Abyssinian_31,0.9277880829184159
5,Abyssinian_44,0.8557680444170265
6,Abyssinian_66,0.9351682927474154
7,Abyssinian_9,0.9410899823564007
8,american_bulldog_140,0.9020520346032543
9,american_bulldog_199,0.91542630123945
10,american_bulldog_95,0.912371371030779
11,basset_hound_118,0.9016946824065079
12,basset_hound_14,0.892629555026552
13,basset_hound_181,0.8284230141524371
14,beagle_1,0.8016777879122462
15,beagle_180,0.9163860897290995
16,Bengal_103,0.8268218390314241
17,Bengal_147,0.9419961180917357
18,Bengal_50,0.7339612245600744
19,Birman_31,0.8724604037011426
20,Birman_7,0.8866236704590288
21,Bombay_16,0.9379975505205144
22,Bombay_48,0.920777891504606
23,boxer_108,0.9510972179785492
24,boxer_11,0.9034052918139268
25,boxer_17,0.8723511562724785
26,boxer_27,0.9091416966759526
27,British_Shorthair_109,0.9199209165712497
28,British_Shorthair_180,0.917506065730461
29,British_Shorthair_186,0.8485412502521409
30,British_Shorthair_2,0.9263726194308923
31,British_Shorthair_40,0.8841794906883296
32,British_Shorthair_67,0.8807629716534837
33,British_Shorthair_70,0.9464371286179797
34,British_Shorthair_72,0.9315144695753316
35,British_Shorthair_93,0.8648119418798245
36,chihuahua_19,0.9395865478356324
37,chihuahua_38,0.8868541530412034
38,Egyptian_Mau_14,0.9379172501147529
39,Egyptian_Mau_155,0.8992856438363885
40,Egyptian_Mau_187,0.8820143188854489
41,Egyptian_Mau_95,0.9017028123219254
42,english_cocker_spaniel_10,0.8673977395048439
43,english_cocker_spaniel_144,0.7731504267239122
44,english_cocker_spaniel_68,0.8031155910459484
45,english_setter_42,0.9047156393357239
46,english_setter_96,0.719779030696509
47,german_shorthaired_126,0.9256597207837939
48,german_shorthaired_66,0.8589105814658365
49,havanese_84,0.9114115910813291
50,keeshond_92,0.9156825509860939
51,leonberger_100,0.9046370336797349
52,leonberger_189,0.9443241021539419
53,leonberger_2,0.9574893914869417
54,leonberger_24,0.9183391493809009
55,Maine_Coon_264,0.8599289591850412
56,Maine_Coon_3,0.9303203861641197
57,Maine_Coon_43,0.8908111610133199
58,Maine_Coon_79,0.9368200929901448
59,Maine_Coon_89,0.9287973331053936
60,newfoundland_110,0.8447732233810332
61,Persian_152,0.8909219832031826
62,Persian_16,0.8931772839687778
63,Persian_221,0.8414911654470819
64,Persian_255,0.9276288158447358
65,Persian_4,0.9034497374431912
66,Persian_7,0.8784819560780195
67,pug_13,0.9561213991769547
68,pug_65,0.919650113033585
69,pug_97,0.9242273571821108
70,Ragdoll_125,0.8908057030564034
71,Ragdoll_188,0.881717560918338
72,Russian_Blue_171,0.8050065503623905
73,Russian_Blue_180,0.9389792087273757
74,Russian_Blue_199,0.9110627564031489
75,Russian_Blue_212,0.7742250610557956
76,Russian_Blue_24,0.9210384391688257
77,Russian_Blue_35,0.8856812933025404
78,Russian_Blue_8,0.9188221249502586
79,Russian_Blue_95,0.897869640659517
80,saint_bernard_50,0.9561771434796819
81,shiba_inu_131,0.7953704591200997
82,shiba_inu_132,0.9577071634911877
83,shiba_inu_140,0.7594898634422186
84,shiba_inu_72,0.9701663737674555
85,Siamese_128,0.8584581848941811
86,Siamese_189,0.9079391620309335
87,Siamese_240,0.9376650605810133
88,Sphynx_139,0.9389309844899746
89,Sphynx_25,0.8844593773140729
90,Sphynx_33,0.557006250441772
91,Sphynx_37,0.914279458453454
92,Sphynx_72,0.9299203512425769
93,staffordshire_bull_terrier_41,0.9233901324369891
94,staffordshire_bull_terrier_67,0.9605970952124798
95,wheaten_terrier_1,0.9352739967557656
96,wheaten_terrier_53,0.7938117811340168
97,yorkshire_terrier_75,0.9578487822224913
98,yorkshire_terrier_82,0.8406267760006495
99,yorkshire_terrier_90,0.9180038004680885
